quarter,variable,value,country
2011-10-01,Unemployment,5.205,Australia
2012-01-01,Unemployment,5.1417,Australia
2012-04-01,Unemployment,5.1192,Australia
2012-07-01,Unemployment,5.2761,Australia
2012-10-01,Unemployment,5.3662,Australia
2013-01-01,Unemployment,5.4762,Australia
2013-04-01,Unemployment,5.6311,Australia
2013-07-01,Unemployment,5.7289,Australia
2013-10-01,Unemployment,5.8396,Australia
2014-01-01,Unemployment,5.8993,Australia
2014-04-01,Unemployment,5.9274,Australia
2014-07-01,Unemployment,6.1698,Australia
2014-10-01,Unemployment,6.2528,Australia
2015-01-01,Unemployment,6.2014,Australia
2015-04-01,Unemployment,6.0167,Australia
2015-07-01,Unemployment,6.1789,Australia
2015-10-01,Unemployment,5.834,Australia
2016-01-01,Unemployment,5.7953,Australia
2016-04-01,Unemployment,5.6871,Australia
2016-07-01,Unemployment,5.6582,Australia
2016-10-01,Unemployment,5.7328,Australia
2017-01-01,Unemployment,5.8068,Australia
2017-04-01,Unemployment,5.5927,Australia
2017-07-01,Unemployment,5.5338,Australia
2017-10-01,Unemployment,5.4906,Australia
2018-01-01,Unemployment,5.5444,Australia
2018-04-01,Unemployment,5.4407,Australia
2018-07-01,Unemployment,5.1873,Australia
2018-10-01,Unemployment,5.0418,Australia
2019-01-01,Unemployment,5.0407,Australia
2019-04-01,Unemployment,5.2253,Australia
2019-07-01,Unemployment,5.256,Australia
2019-10-01,Unemployment,5.17,Australia
2020-01-01,Unemployment,5.1826,Australia
2020-04-01,Unemployment,6.9055,Australia
2020-07-01,Unemployment,7.0566,Australia
2020-10-01,Unemployment,6.7713,Australia
2021-01-01,Unemployment,5.9256,Australia
2021-04-01,Unemployment,5.203,Australia
2021-07-01,Unemployment,4.6711,Australia
2021-10-01,Unemployment,4.6922,Australia
2022-01-01,Unemployment,4.0528,Australia
2022-04-01,Unemployment,3.803,Australia
2022-07-01,Unemployment,3.5294,Australia
2022-10-01,Unemployment,3.4928,Australia
2023-01-01,Unemployment,3.6136,Australia
2023-04-01,Unemployment,3.6091,Australia
2023-07-01,Unemployment,3.6568,Australia
2023-10-01,Unemployment,3.8984,Australia
2024-01-01,Unemployment,3.8994,Australia
2024-04-01,Unemployment,4.0485,Australia
2024-07-01,Unemployment,4.1206,Australia
2024-10-01,Unemployment,4.0054,Australia
2025-01-01,Unemployment,4.0762,Australia
2025-04-01,Unemployment,4.1677,Australia
2025-07-01,Unemployment,4.3197,Australia
2025-10-01,Unemployment,4.2532,Australia
2026-01-01,Unemployment,4.2038,Australia
